Ticker,3M %,1M %,1W %,6M %
BHC,32.525256475786016,10.998309850245697,2.982732506027087,17.773783493849958
AQST,32.50620036175728,36.22449103716459,4.5009787292374055,25.352109522997207
DB,32.21369650813036,9.832582136370304,3.1702456670668324,31.96939288896679
AMCX,32.20339085787959,5.139003054409169,-0.873714130408106,50.724637013460516
CLAR,32.023149780665655,12.04338284587873,0.8064508376086847,24.043205468404537
BOX,31.847125974407515,10.486650565889672,-1.6489663854580068,34.82757897464593
DLTH,31.77842253512903,8.65384968074834,22.82608421008849,104.52488248445533
DFIN,31.610235141733906,5.250097240084725,5.42442851608669,-3.8519655415278353
AGM,31.539206601584624,-3.8578420818367536,3.583449341304634,43.23219783822652
EML,31.491301629157114,11.88294601986115,2.569753189504961,57.26504783137179
BWFG,31.4764953521496,1.079809058265975,2.5098898379919956,44.459201741960776
BDRY,31.220282219588576,18.79483475197523,7.045889981247694,43.7499896519718
BH,31.19209161678996,-1.6605619260162834,-1.2175686914543948,11.86416372403248
AZTA,31.142740578224448,1.9193238678623108,-4.042883738080678,26.381600510883196
DV,30.980391240220744,14.090517618746093,-0.29850718650553654,22.344318345567203
CHMI,30.853327984726537,23.84936854492948,0.680271446845552,18.585698811959492
ACAD,30.751283521896504,-1.5114245822303227,-3.0785174484464974,25.089289888131443
BLMN,30.707613631762527,-10.01838365002537,-4.951458441142509,53.44827251168363
DOCU,30.553438301568697,20.22847421365281,3.2292245774043966,41.84118662949782
CLBK,30.3912191784156,8.42240654857482,0.6884675085537283,42.617626065708315
BBVA,30.28697892223937,4.8685176579547695,1.8991752824469914,41.34291555559291
AJG,30.15525122716671,4.349724600502375,0.20599220198155305,15.118756398076885
AMGN,30.029330027106475,8.62916716960921,1.7097808737392368,20.540324838697956
DAO,29.96484897293551,-15.678453877615645,-9.762046902856717,46.87190079513901
CHPT,29.960580417958727,68.19728147680681,79.8181880604137,67.06081445718695
BRO,29.824692545402666,0.5694467766282841,-1.0392129957441572,-1.8118293667858905
CZNC,29.608005929953794,3.3241002666061226,3.038675821337887,19.937814253727236
BLFS,29.357798165137616,3.8903615766335906,-4.909629646094468,75.19879984927017
DSX,29.12446165987336,20.37456035368502,10.256409136758817,20.431308340696024
ATEX,28.915121045386687,-14.00518649770559,-5.08307050017233,121.20511959760616
APPF,28.874717792250497,10.391014427656273,-8.509460468492566,12.838338950185637
ASH,28.684413271223224,1.2284233533974085,0.027426473819803565,28.788698594424527
ARTW,28.682171760445875,55.14017619132132,20.28985306936711,46.25550489598333
BPRN,28.607260193428292,3.053970287808241,3.102789011648289,30.560940073990185
CMG,28.601250448216973,9.641056328289846,-2.8135675234539193,-0.26983886970503623
ETD,28.02504250224373,11.906175329564228,8.235876952298321,20.43347621775193
AMPH,27.924940571671936,17.011614992858274,2.885040384910223,13.405086592599208
EDU,27.786125642056064,4.715812782209053,3.1369108053050607,12.936968469683524
CARS,27.777768543458876,-0.08518082688926217,0.256407978292742,39.64285803489949
BDX,27.767585834117604,4.331619049917014,-1.7915023689612661,10.174500213439917
AMP,27.528475057443053,0.13218359913786287,1.346931424912885,19.343801183911133
BBY,27.52161920622733,12.809298212946308,12.626319306955905,41.5609783177914
DXC,27.43169763415801,5.139762732024916,3.185837615935779,-11.599695084499235
DG,27.404523782768532,4.519427150684168,5.096652239737426,-8.205854476531433
BYFC,27.310917045965898,14.016930903829348,2.020200074126503,51.87969745100662
ARGX,27.05684209388548,18.033821412371527,0.14442647626257504,41.89477485536937
EL,27.0113076518009,21.90056209979537,1.5249242542099266,9.122484719359743
CMCL,26.996721609484037,30.309136873130782,4.030029550716522,-2.068733269325149
BTF,26.74822035528763,24.510256181042582,-0.9333909254106546,11.410402259108379
AVNT,26.742690408972592,1.7584993509201157,-1.4979569379046784,12.907570023821934
BIO,26.664043027154065,12.755889849034993,-0.0025923976358598146,38.3757972406982
CAH,26.483566540640034,4.0057177762257465,5.353336382229617,14.951652246725578
CHMG,26.254042459850158,2.3895675995103782,4.650298084689761,55.17330373730347
DBX,26.241397747102578,0.8396088819933262,-1.0230088368945307,32.031853446209624
CFBK,26.19498209093591,-1.3812154405032113,3.2986092139726084,21.11673318987736
DSGR,26.174010607136093,-0.4595055968248396,-0.37367365534392033,58.26484224266927
AGYS,26.04414548232325,3.513663055363249,-4.33811776728047,39.63636440169475
CLW,26.02409394909746,-8.486441304726554,-0.33349068884001126,41.54262824258145
COR,25.774451082062704,2.0250973816189113,2.2713244638087087,-7.494015448642812
BFH,25.7488579851908,1.0565632771417062,6.12616200928176,48.100683107947525
ALRM,25.539002967561338,0.33753530577146273,-1.876306124544031,12.622129259738813
ATHM,25.51661205728611,-2.994268715281802,0.41021034820934826,21.183857855387238
AVPT,25.514023781072737,5.003912003374471,-3.52011327896933,18.954830385770133
ABT,25.41975427178392,0.3427220727304053,-1.839433461462363,-1.1283144122707307
ENTA,25.26690578664812,5.5472246075994835,5.626406633853021,2.4745280804340313
DOCS,25.237638949072704,27.54114509236239,-1.3478049994101573,1.0740341002040652
ASND,24.802807296318317,8.288969761520736,2.8588765090416324,13.99199098423205
ECPG,24.727599522226416,-0.5925564139100983,0.29893919095074084,33.87452207375508
BX,24.717850918104904,2.0232274334853417,-4.949742617133626,20.1326359960231
DELL,24.680857303850562,19.762372205678645,14.940462582790499,259.4256896884395
ESNT,24.52223539494809,6.141374091658942,2.397872713327184,18.271179806266133
BNED,24.519169234075523,0.632910771622848,5.123965834815732,48.32642053109493
ALL,24.510510380828617,-5.2559632527799405,0.6865863518470948,23.81788867513204
CAG,24.457622225774806,4.2424184820408035,-3.370792135437465,-13.747602440409592
BCDA,24.137935286894965,13.684216470269359,-5.2631529414422,-10.743800920098646
COF,24.07132971284556,0.17068062885531363,2.3728552174838087,13.924670284962357
CCEL,24.057975381243395,19.88796330090195,1.9047715280065776,30.487812412841837
CRVS,24.051723018129184,3.82395887282849,2.4928802166715447,-10.398500486635198
ADMA,23.969067033716566,-4.373762581556451,2.4494093059312956,-38.72611463420546
BTG,23.913186580665222,37.1638123280938,2.372264853803729,8.632955951892454
CARG,23.816519920979072,-7.256732578719547,-5.384178847899376,-1.3450265327804625
DTIL,23.67549399619383,0.6738505846846076,-2.22513192754996,64.90064998270017
EE,23.657780679281927,5.9877230023618315,1.034830536257678,12.584909755573415
CASS,23.637681196162987,-3.3730852867797485,0.036663511088455676,25.143452678856832
APPS,23.529411117664488,-24.947444326673875,-0.4646857776141444,152.00000089757583
BMY,23.491014989563887,4.162117077843252,0.014971017206963179,12.398809409988548
CNO,23.371304480657304,2.28911403792791,3.57729339609702,35.697998572298246
ATEC,23.04687526678512,2.6058606962443767,0.8537878834913274,-24.8210020788128
DGX,22.943239837540833,-0.5702308638790619,-1.3150243953300105,17.238340236204085
ERAS,22.83763398472616,-11.384783095734283,-9.451894329040483,4.182757875162068
ADP,22.821633009384186,1.5026818781091085,-2.9843473705730394,26.644591811235625
BOTJ,22.683942839648495,2.2592603349853424,2.071003871974024,40.16894066802499
ERIE,22.68219888251278,-0.49594368217898827,-1.0799790785735695,-5.184435219755196
DHX,22.493222515862588,9.443095779148432,5.361305853581869,73.18008285822415
CCK,22.212648401197978,-4.9050329371235195,-1.0567881553305143,7.5165599378075445
AU,22.155071409675458,25.306927412643134,-2.8935185263802685,4.700070593337773
ACT,22.033589711707553,1.7239179487987273,2.2199163441651475,20.23504594748447
ATLC,22.00968822134659,-16.692014947034096,2.940196746793158,59.006313366342376
ARVN,21.948059427535302,8.179723654198584,2.06522323909476,-31.559765593530532
CHE,21.942513458755094,-5.257667990995926,0.21784905533829613,26.464367645421138
BNTC,21.923084329571516,-3.427264320966824,4.190634557803086,19.62264008350588
CFR,21.881562628121888,-0.6660870498897933,1.0878349307620687,19.907745824647986
CMCO,21.880992005774722,-8.941519254310593,6.6817684902115,2.9256256682552837
DNOW,21.844303832141783,4.7433429475352105,0.5614482141779893,33.775938457062615
ANIX,21.825395098378884,-10.495630510431925,-8.358208339127735,6.228367536498459
BMRN,21.716061041018744,8.24926744280592,1.9929409097985258,9.839853251612194
CAAS,21.621622202139214,19.46902916270665,-1.9963725761355733,29.496402795432058
CRSR,21.431979033914754,19.886905547858944,4.691363509421125,103.84616560249447
BLCO,21.318097204874835,10.336394462552914,3.203669267484266,2.500002980232174
ALLE,21.257158159150332,-6.8642572854387645,1.2045057115539453,4.009527205363195
BIVI,21.21212296358922,48.148145531757756,-12.280700653653822,49.25372762546221
ALRS,21.205320154956127,0.5954175707976124,2.7051651926166946,41.87137977841221
BITO,21.14979775029,23.576151484483283,1.1394606958041296,10.304957779973964
CRAI,21.135031978565742,-2.829736252639469,-2.0573044916278653,-6.846656686626747
AMAL,21.107020327130137,-1.9541442215667382,2.28832635969318,28.62568731700361
CAC,20.980895560280537,-0.9197767398197092,2.9922072245152656,28.199981302490063
AMCR,20.90472076681598,-2.680179733869089,-0.19893090658763846,6.572747336694746
BAC,20.85330247714471,-0.00032255632092016923,1.7110110347552947,27.856097494170246
ABM,20.842944416091143,-3.0895984007657367,0.9007037515006616,7.856942851681121
ALGS,20.81712450302017,12.704170239339357,5.9726944822211765,-6.756754047674553
DXCM,20.791542642257497,5.878107781422157,-3.4702351388506276,24.345732762900575
BCRX,20.727273189660274,7.096772407269787,2.6804147834466123,17.17647103702321
ATNI,20.684788728306383,0.9794356925528278,2.519059419820836,25.984927081887964
CNDT,20.49689689336892,10.85714612688337,12.790699125045412,33.793102994685235
ALXO,20.359283959033405,-4.739332208735815,4.145080056452086,-5.633808334754891
EPAM,20.312502450848914,25.754809604921636,-0.6704582052540842,-19.048278162085317
CRON,20.29520090679998,6.188927079870148,-3.264091953450504,26.84825195111287
CNXN,20.17513996436026,-2.361169925511899,5.60910926941314,37.500415078537834
ACVA,20.137695143146765,-6.30872217751118,-0.7112402452720037,29.020336708741155
